delivery_id,source_city,destination_city,source_lat,source_long,dest_lat,dest_long,distance_km,vehicle_type,driver_id,package_weight_kg,order_time,scheduled_delivery_time,actual_delivery_time,traffic_level,weather_condition,road_type,delay_minutes,is_delayed
DLV000001,Hyderabad,Mumbai,17.25954,78.937414,19.307994,72.976358,669.26,Motorcycle,DRV032,5.85,2023-04-25 04:47:00,2023-04-25 20:57:25.347092,2023-04-25 22:04:25.347092,9,Clear,Rural,67.0,1
DLV000002,Bangalore,Ahmedabad,12.529684,77.960776,23.123615,72.779473,1298.98,Truck,DRV065,5.85,2023-11-05 00:35:00,2023-11-06 17:23:34.357295,2023-11-06 19:34:34.357295,9,Rain,Rural,131.0,1
DLV000003,Mumbai,Pune,18.596584,73.34761,18.852843,73.569039,36.82,Car,DRV044,4.65,2023-05-23 04:13:00,2023-05-23 05:01:36.130147,2023-05-23 04:53:36.130147,2,Snow,Highway,-8.0,0
DLV000004,Coimbatore,Jaipur,10.821042,76.980556,26.844345,75.578529,1787.76,Van,DRV094,4.64,2023-08-24 17:07:00,2023-08-26 14:28:51.474274,2023-08-26 17:00:51.474274,9,Fog,Highway,152.0,1
DLV000005,Surat,Pune,21.282053,72.470594,18.312545,73.723062,355.24,Van,DRV006,32.0,2023-12-05 07:49:00,2023-12-05 16:20:32.497087,2023-12-05 17:04:32.497087,4,Snow,Highway,44.0,1
DLV000006,Nagpur,Kolkata,20.845474,79.102434,22.665015,87.91035,931.69,Motorcycle,DRV046,5.9,2023-04-18 21:17:00,2023-04-19 15:08:26.763873,2023-04-19 15:07:26.763873,3,Clear,Rural,-1.0,0
DLV000007,Indore,Jaipur,22.827145,75.528224,26.477452,76.236186,412.15,Truck,DRV088,4.05,2023-06-16 01:14:00,2023-06-16 15:08:36.180588,2023-06-16 15:14:36.180588,7,Clear,City,6.0,0
DLV000008,Kanpur,Pune,26.634133,80.272052,18.142438,73.851877,1151.53,Car,DRV051,5.52,2023-11-26 14:09:00,2023-11-27 17:47:11.842916,2023-11-27 17:54:11.842916,4,Snow,Highway,7.0,0
DLV000009,Thane,Coimbatore,18.752689,73.38742,10.77558,77.118322,973.35,Car,DRV047,9.11,2023-04-23 04:32:00,2023-04-23 22:25:06.932212,2023-04-23 22:50:06.932212,1,Fog,Highway,25.0,1
DLV000010,Thane,Bangalore,19.26501,72.662954,13.441185,77.869733,853.02,Car,DRV049,1.04,2023-11-02 14:33:00,2023-11-03 14:26:04.152127,2023-11-03 15:15:04.152127,1,Snow,Rural,49.0,1
DLV000011,Jaipur,Nagpur,27.351899,76.182127,21.2437,79.510074,758.21,Van,DRV038,6.58,2023-08-11 05:29:00,2023-08-11 21:16:45.952124,2023-08-11 21:18:45.952124,5,Clear,Rural,2.0,0
DLV000012,Hyderabad,Kanpur,17.273677,78.258049,26.778638,80.188653,1075.41,Truck,DRV020,5.47,2023-07-11 05:34:00,2023-07-12 03:44:49.362361,2023-07-12 05:00:49.362361,10,Cloudy,Highway,76.0,1
DLV000013,Lucknow,Ahmedabad,26.627635,80.988896,22.663424,72.873597,930.79,Van,DRV031,3.75,2023-10-18 02:05:00,2023-10-19 01:42:07.291784,2023-10-19 04:43:07.291784,9,Fog,Highway,181.0,1
DLV000014,Vadodara,Kolkata,21.812722,73.496661,22.779457,88.592907,1556.16,Motorcycle,DRV068,13.62,2023-11-07 13:13:00,2023-11-08 23:27:08.151174,2023-11-08 23:20:08.151174,4,Cloudy,Rural,-7.0,0
DLV000015,Bhopal,Vadodara,23.53117,76.986645,22.165666,72.797069,455.34,Car,DRV016,10.29,2023-05-07 07:04:00,2023-05-07 20:43:36.475312,2023-05-07 21:44:36.475312,10,Snow,Highway,61.0,1
